,best_cv_score,mae_test,performance,variables,prediction
0,28417.169528574486,25474.805565068495,2942.3639635059917,MSSubClass,
1,28417.169528574486,25474.805565068495,2942.3639635059917,LotFrontage,
2,28417.169528574486,25474.805565068495,2942.3639635059917,LotArea,
3,28417.169528574486,25474.805565068495,2942.3639635059917,OverallQual,
4,28417.169528574486,25474.805565068495,2942.3639635059917,OverallCond,
5,28417.169528574486,25474.805565068495,2942.3639635059917,YearBuilt,
6,28417.169528574486,25474.805565068495,2942.3639635059917,YearRemodAdd,
7,28417.169528574486,25474.805565068495,2942.3639635059917,MasVnrArea,
8,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtFinSF1,
9,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtFinSF2,
10,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtUnfSF,
11,28417.169528574486,25474.805565068495,2942.3639635059917,TotalBsmtSF,
12,28417.169528574486,25474.805565068495,2942.3639635059917,1stFlrSF,
13,28417.169528574486,25474.805565068495,2942.3639635059917,2ndFlrSF,
14,28417.169528574486,25474.805565068495,2942.3639635059917,LowQualFinSF,
15,28417.169528574486,25474.805565068495,2942.3639635059917,GrLivArea,
16,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtFullBath,
17,28417.169528574486,25474.805565068495,2942.3639635059917,FullBath,
18,28417.169528574486,25474.805565068495,2942.3639635059917,HalfBath,
19,28417.169528574486,25474.805565068495,2942.3639635059917,BedroomAbvGr,
20,28417.169528574486,25474.805565068495,2942.3639635059917,KitchenAbvGr,
21,28417.169528574486,25474.805565068495,2942.3639635059917,TotRmsAbvGrd,
22,28417.169528574486,25474.805565068495,2942.3639635059917,Fireplaces,
23,28417.169528574486,25474.805565068495,2942.3639635059917,GarageYrBlt,
24,28417.169528574486,25474.805565068495,2942.3639635059917,GarageCars,
25,28417.169528574486,25474.805565068495,2942.3639635059917,GarageArea,
26,28417.169528574486,25474.805565068495,2942.3639635059917,WoodDeckSF,
27,28417.169528574486,25474.805565068495,2942.3639635059917,OpenPorchSF,
28,28417.169528574486,25474.805565068495,2942.3639635059917,EnclosedPorch,
29,28417.169528574486,25474.805565068495,2942.3639635059917,3SsnPorch,
30,28417.169528574486,25474.805565068495,2942.3639635059917,ScreenPorch,
31,28417.169528574486,25474.805565068495,2942.3639635059917,PoolArea,
32,28417.169528574486,25474.805565068495,2942.3639635059917,MiscVal,
33,28417.169528574486,25474.805565068495,2942.3639635059917,MoSold,
34,28417.169528574486,25474.805565068495,2942.3639635059917,YrSold,
